# Report Type: ALERTS
# Generated: 2026-02-28 23:31:35
# total_alerts: 13
# severity_breakdown: {'LOW': 0, 'MEDIUM': 0, 'HIGH': 13, 'CRITICAL': 0}
# type_breakdown: {'SUSPICIOUS_FILE_CHANGE': 13}
# date_range: ALL to ALL
#================================================================================
id,alert_time,alert_type,description,severity,file_path,process_name,user_name,risk_score,resolved,email_sent
13,2026-02-28 17:52:51,SUSPICIOUS_FILE_CHANGE,MODIFIED of secrets.txt,HIGH,C:\Users\mdsid\Documents\SmartFileGuard\demo_files\secrets.txt,python.exe,mdsid,0.9,0,0
12,2026-02-28 17:52:04,SUSPICIOUS_FILE_CHANGE,CREATED of secrets.txt,HIGH,C:\Users\mdsid\Documents\SmartFileGuard\demo_files\secrets.txt,python.exe,mdsid,0.9,0,0
11,2026-02-20 10:10:24,SUSPICIOUS_FILE_CHANGE,MODIFIED of secrets.txt,HIGH,C:\Users\mdsid\Documents\SmartFileGuard\demo_files\secrets.txt,Unknown,mdsid,0.9,0,0
10,2026-02-20 10:09:54,SUSPICIOUS_FILE_CHANGE,CREATED of secrets.txt,HIGH,C:\Users\mdsid\Documents\SmartFileGuard\demo_files\secrets.txt,Unknown,mdsid,0.9,0,0
9,2026-02-20 10:09:38,SUSPICIOUS_FILE_CHANGE,MODIFIED of secrets.txt,HIGH,C:\Users\mdsid\Documents\SmartFileGuard\demo_files\secrets.txt,Unknown,mdsid,0.9,0,0
8,2026-02-20 10:06:58,SUSPICIOUS_FILE_CHANGE,CREATED of secrets.txt,HIGH,C:\Users\mdsid\Documents\SmartFileGuard\demo_files\secrets.txt,Unknown,mdsid,0.9,0,0
7,2026-02-20 10:05:04,SUSPICIOUS_FILE_CHANGE,MODIFIED of secrets.txt,HIGH,C:\Users\mdsid\Documents\SmartFileGuard\demo_files\secrets.txt,Unknown,mdsid,0.9,0,0
6,2026-02-20 10:01:37,SUSPICIOUS_FILE_CHANGE,MODIFIED of secrets.txt,HIGH,C:\Users\mdsid\Documents\SmartFileGuard\demo_files\secrets.txt,Unknown,mdsid,0.9,0,0
5,2026-02-20 09:55:21,SUSPICIOUS_FILE_CHANGE,MODIFIED of secrets.txt,HIGH,C:\Users\mdsid\Documents\SmartFileGuard\demo_files\secrets.txt,Unknown,mdsid,0.9,0,0
4,2026-02-20 09:54:55,SUSPICIOUS_FILE_CHANGE,CREATED of secrets.txt,HIGH,C:\Users\mdsid\Documents\SmartFileGuard\demo_files\secrets.txt,Unknown,mdsid,0.9,0,0
3,2026-02-20 09:54:06,SUSPICIOUS_FILE_CHANGE,MODIFIED of secrets.txt,HIGH,C:\Users\mdsid\Documents\SmartFileGuard\demo_files\secrets.txt,Unknown,mdsid,0.9,0,0
2,2026-02-20 09:53:35,SUSPICIOUS_FILE_CHANGE,CREATED of secrets.txt,HIGH,C:\Users\mdsid\Documents\SmartFileGuard\demo_files\secrets.txt,Unknown,mdsid,0.9,0,0
1,2026-02-20 09:20:35,SUSPICIOUS_FILE_CHANGE,CREATED of secrets.txt,HIGH,C:\Users\mdsid\Documents\SmartFileGuard\demo_files\secrets.txt,Unknown,mdsid,0.9,0,0
